,platform,title,date,place,artist,url,imageUrl
27,Ticket Link,유지나 콘서트 - 부안,2017.09.18 ~ 2017.09.18,부안예술회관,Null,www.ticketlink.co.kr/product/20620,image.toast.com/aaaaab/ticketlink/TKL_8/UJN_0904.jpg
28,Ticket Link,MOCCA LIVE IN SEOUL 2017,2017.09.21 ~ 2017.09.21,KT&G 상상마당 라이브홀,Null,www.ticketlink.co.kr/product/20390,image.toast.com/aaaaab/ticketlink/TKL_6/mocca_main_0821.jpg
29,Ticket Link,韓·中·日 전통극 페스타,2017.09.21 ~ 2017.09.21,대구오페라하우스,Null,www.ticketlink.co.kr/product/20633,image.toast.com/aaaaab/ticketlink/TKL_10/HJL_0906.jpg
30,Ticket Link,"별이 빛나는 밤, 고흐와 함께 떠나는 음악 여행-보성",2017.09.21 ~ 2017.09.21,보성군문화예술회관,Null,www.ticketlink.co.kr/product/20788,image.toast.com/aaaaab/ticketlink/TKL_8/starpst_0908.jpg
31,Ticket Link,재즈 스케이프 콘서트,2017.09.23 ~ 2017.09.24,고양 아람누리 노루목 야외극장,Null,www.ticketlink.co.kr/product/20275,image.toast.com/aaaaab/ticketlink/TKL_10/jazz-po20170807.jpg
32,Ticket Link,변진섭 30주년 콘서트,2017.09.23 ~ 2017.09.23,경북대학교 대강당,Null,www.ticketlink.co.kr/product/20283,image.toast.com/aaaaab/ticketlink/TKL_1/singpo-20170808.jpg
33,Ticket Link,오페라 갈라콘서트-광주,2017.09.28 ~ 2017.09.28,광주문화예술회관 대극장,Null,www.ticketlink.co.kr/product/20640,image.toast.com/aaaaab/ticketlink/TKL_6/opera_main_0906.jpg
34,Ticket Link,Happy Rippi B Party,2017.09.30 ~ 2017.09.30,구로아트밸리 예술극장,Null,www.ticketlink.co.kr/product/20293,image.toast.com/aaaaab/ticketlink/TKL_1/Happypo20170809.jpg
35,Ticket Link,마술의 제왕 - 마술원정대,2017.09.30 ~ 2017.09.30,CTS 아트홀,Null,www.ticketlink.co.kr/product/20453,image.toast.com/aaaaab/ticketlink/TKL_9/flsm_main0829.jpg
36,Ticket Link,2017 FEVER FESTIVAL,2017.09.30 ~ 2017.09.30,서울광장,Null,www.ticketlink.co.kr/product/20819,image.toast.com/aaaaab/ticketlink/TKL_6/fever_main0913.jpg
37,Ticket Link,곽다경 싱글앨범 발매 콘서트,2017.09.30 ~ 2017.09.30,디콜라보,Null,www.ticketlink.co.kr/product/20837,image.toast.com/aaaaab/ticketlink/TKL_2/dcall(m).png
38,Ticket Link,서울숲 재즈페스티벌 2017,2017.10.07 ~ 2017.10.08,서울시 성동구 성수동1가 서울숲 야외무대,Null,www.ticketlink.co.kr/product/20276,image.toast.com/aaaaab/ticketlink/TKL_9/sspst_0809.jpg
39,Ticket Link,김연자 콘서트,2017.10.07 ~ 2017.10.07,KBS아레나 & 제2체육관,Null,www.ticketlink.co.kr/product/20475,image.toast.com/aaaaab/ticketlink/TKL_2/YJ_seoul_0913.jpg
40,Ticket Link,2017 남진 콘서트 - 제주,2017.10.08 ~ 2017.10.08,제주아트센터,Null,www.ticketlink.co.kr/product/20302,image.toast.com/aaaaab/ticketlink/TKL_5/nam-20170816.jpg
41,Ticket Link,리차드 막스 로맨틱콘서트 - 인천,2017.10.12 ~ 2017.10.12,인천 남동체육관,Null,www.ticketlink.co.kr/bridge/296,image.toast.com/aaaaab/ticketlink/TKL_6/RM_0818.jpg
